,DrugBank ID,Drug name,UniProt ID,UniProt Name
0,DB00659,Acamprosate,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
1,DB00659,Acamprosate,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
2,DB00659,Acamprosate,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
3,DB00659,Acamprosate,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
4,DB00659,Acamprosate,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
5,DB00659,Acamprosate,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
6,DB00659,Acamprosate,P18505,Gamma-aminobutyric acid receptor subunit beta-1
7,DB00659,Acamprosate,P47870,Gamma-aminobutyric acid receptor subunit beta-2
8,DB00659,Acamprosate,P28472,Gamma-aminobutyric acid receptor subunit beta-3
9,DB00659,Acamprosate,O14764,Gamma-aminobutyric acid receptor subunit delta
10,DB00659,Acamprosate,P78334,Gamma-aminobutyric acid receptor subunit epsilon
11,DB00659,Acamprosate,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
12,DB00659,Acamprosate,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
13,DB00659,Acamprosate,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
14,DB00659,Acamprosate,O00591,Gamma-aminobutyric acid receptor subunit pi
15,DB00659,Acamprosate,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
16,DB00659,Acamprosate,Q05586,"Glutamate receptor ionotropic, NMDA 1"
17,DB00659,Acamprosate,Q12879,"Glutamate receptor ionotropic, NMDA 2A"
18,DB00659,Acamprosate,Q13224,"Glutamate receptor ionotropic, NMDA 2B"
19,DB00659,Acamprosate,Q14957,"Glutamate receptor ionotropic, NMDA 2C"
20,DB00659,Acamprosate,O15399,"Glutamate receptor ionotropic, NMDA 2D"
21,DB00659,Acamprosate,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
22,DB00659,Acamprosate,O60391,"Glutamate receptor ionotropic, NMDA 3B"
23,DB00659,Acamprosate,P41594,Metabotropic glutamate receptor 5
24,DB00284,Acarbose,O43451,"Maltase-glucoamylase, intestinal"
25,DB00284,Acarbose,P10253,Lysosomal alpha-glucosidase
26,DB00284,Acarbose,P14410,"Sucrase-isomaltase, intestinal"
27,DB00284,Acarbose,P04746,Pancreatic alpha-amylase
28,DB01193,Acebutolol,P08588,Beta-1 adrenergic receptor
29,DB01193,Acebutolol,P07550,Beta-2 adrenergic receptor
30,DB00316,Acetaminophen,P23219,Prostaglandin G/H synthase 1
31,DB00316,Acetaminophen,P35354,Prostaglandin G/H synthase 2
32,DB00316,Acetaminophen,Q15185,Prostaglandin E synthase 3
33,DB00316,Acetaminophen,Q8NER1,Transient receptor potential cation channel subfamily V member 1
34,DB00819,Acetazolamide,P00915,Carbonic anhydrase 1
35,DB00819,Acetazolamide,P00918,Carbonic anhydrase 2
36,DB00819,Acetazolamide,P22748,Carbonic anhydrase 4
37,DB00819,Acetazolamide,O43570,Carbonic anhydrase 12
38,DB00819,Acetazolamide,Q9ULX7,Carbonic anhydrase 14
39,DB00819,Acetazolamide,P07451,Carbonic anhydrase 3
40,DB00819,Acetazolamide,P43166,Carbonic anhydrase 7
41,DB00819,Acetazolamide,P29972,Aquaporin-1
42,DB00414,Acetohexamide,P48048,ATP-sensitive inward rectifier potassium channel 1
43,DB01063,Acetophenazine,P14416,D(2) dopamine receptor
44,DB01063,Acetophenazine,P10275,Androgen receptor
45,DB00210,Adapalene,P10826,Retinoic acid receptor beta
46,DB00210,Adapalene,P13631,Retinoic acid receptor gamma
47,DB00210,Adapalene,P28702,Retinoic acid receptor RXR-beta
48,DB00210,Adapalene,P48443,Retinoic acid receptor RXR-gamma
49,DB00210,Adapalene,P19793,Retinoic acid receptor RXR-alpha
50,DB00210,Adapalene,P05412,Transcription factor AP-1
51,DB00210,Adapalene,O60603,Toll-like receptor 2
52,DB00210,Adapalene,P10276,Retinoic acid receptor alpha
53,DB00210,Adapalene,P17174,"Aspartate aminotransferase, cytoplasmic"
54,DB00640,Adenosine,P29274,Adenosine receptor A2a
55,DB00640,Adenosine,P29275,Adenosine receptor A2b
56,DB00640,Adenosine,P0DMS8,Adenosine receptor A3
57,DB00640,Adenosine,P30542,Adenosine receptor A1
58,DB00240,Alclometasone,P04150,Glucocorticoid receptor
59,DB00346,Alfuzosin,P35348,Alpha-1A adrenergic receptor
60,DB00346,Alfuzosin,P35368,Alpha-1B adrenergic receptor
61,DB00346,Alfuzosin,P25100,Alpha-1D adrenergic receptor
62,DB00346,Alfuzosin,Q12809,Potassium voltage-gated channel subfamily H member 2
63,DB09026,Aliskiren,P00797,Renin
64,DB00523,Alitretinoin,P10276,Retinoic acid receptor alpha
65,DB00523,Alitretinoin,P19793,Retinoic acid receptor RXR-alpha
66,DB00523,Alitretinoin,P10826,Retinoic acid receptor beta
67,DB00523,Alitretinoin,P28702,Retinoic acid receptor RXR-beta
68,DB00523,Alitretinoin,P13631,Retinoic acid receptor gamma
69,DB00523,Alitretinoin,P48443,Retinoic acid receptor RXR-gamma
70,DB00523,Alitretinoin,P17936,Insulin-like growth factor-binding protein 3
71,DB00523,Alitretinoin,Q15238,Pregnancy-specific beta-1-glycoprotein 5
72,DB00523,Alitretinoin,Q6V0L0,Cytochrome P450 26C1
73,DB00437,Allopurinol,P47989,Xanthine dehydrogenase/oxidase
74,DB00918,Almotriptan,P28221,5-hydroxytryptamine receptor 1D
75,DB00918,Almotriptan,P28222,5-hydroxytryptamine receptor 1B
76,DB00969,Alosetron,P46098,5-hydroxytryptamine receptor 3A
77,DB00404,Alprazolam,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
78,DB00404,Alprazolam,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
79,DB00404,Alprazolam,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
80,DB00404,Alprazolam,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
81,DB00404,Alprazolam,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
82,DB00404,Alprazolam,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
83,DB00404,Alprazolam,P18505,Gamma-aminobutyric acid receptor subunit beta-1
84,DB00404,Alprazolam,P47870,Gamma-aminobutyric acid receptor subunit beta-2
85,DB00404,Alprazolam,P28472,Gamma-aminobutyric acid receptor subunit beta-3
86,DB00404,Alprazolam,O14764,Gamma-aminobutyric acid receptor subunit delta
87,DB00404,Alprazolam,P78334,Gamma-aminobutyric acid receptor subunit epsilon
88,DB00404,Alprazolam,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
89,DB00404,Alprazolam,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
90,DB00404,Alprazolam,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
91,DB00404,Alprazolam,O00591,Gamma-aminobutyric acid receptor subunit pi
92,DB00404,Alprazolam,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
93,DB00404,Alprazolam,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
94,DB00404,Alprazolam,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
95,DB00404,Alprazolam,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
96,DB00404,Alprazolam,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
97,DB00404,Alprazolam,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
98,DB00404,Alprazolam,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
99,DB00404,Alprazolam,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
100,DB00915,Amantadine,P21430,Matrix protein 2
101,DB00915,Amantadine,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
102,DB00915,Amantadine,P14416,D(2) dopamine receptor
103,DB00915,Amantadine,P36544,Neuronal acetylcholine receptor subunit alpha-7
104,DB00915,Amantadine,P43681,Neuronal acetylcholine receptor subunit alpha-4
105,DB00915,Amantadine,P32297,Neuronal acetylcholine receptor subunit alpha-3
106,DB01122,Ambenonium,P22303,Acetylcholinesterase
107,DB01143,Amifostine,P10696,"Alkaline phosphatase, placental-like"
108,DB00594,Amiloride,P37088,Amiloride-sensitive sodium channel subunit alpha
109,DB00594,Amiloride,P51168,Amiloride-sensitive sodium channel subunit beta
110,DB00594,Amiloride,P51170,Amiloride-sensitive sodium channel subunit gamma
111,DB00594,Amiloride,P51172,Amiloride-sensitive sodium channel subunit delta
112,DB00594,Amiloride,P19801,Amiloride-sensitive amine oxidase [copper-containing]
113,DB00594,Amiloride,Q16515,Acid-sensing ion channel 2
114,DB00594,Amiloride,P78348,Acid-sensing ion channel 1
115,DB00594,Amiloride,P19634,Sodium/hydrogen exchanger 1
116,DB00594,Amiloride,P00749,Urokinase-type plasminogen activator
117,DB00357,Aminoglutethimide,P11511,Aromatase
